zinc_id,smiles
ZINC000000039451,CC(C)=CCc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)cc1)CC2=O
ZINC000000039452,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O
ZINC000000040395,CCOC(=O)/C=C/c1ccc(O)cc1
ZINC000000043467,c1cc(-c2ccncc2)ccn1
ZINC000000047553,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
ZINC000000049141,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
ZINC000000049142,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
ZINC000000049151,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
ZINC000000049153,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
ZINC000000053963,O=C(O)c1cc2ccccc2o1
ZINC000000056555,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
ZINC000000056556,CC(C)NC[C@H](O)COc1cccc2ccccc12
ZINC000000056647,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C
ZINC000000056654,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
ZINC000000057146,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O
ZINC000000057147,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O
ZINC000000057204,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
ZINC000000057206,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1
ZINC000000057317,CCOc1ccc2nccc([C@@H](O)[C@H]3C[C@H]4CCN3C[C@H]4CC)c2c1
ZINC000000057382,CCCC(=O)CC(=O)N[C@H]1CCOC1=O
ZINC000000057412,COc1cc(C)nc(-n2nc(C)cc2OC)n1
ZINC000000057466,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
ZINC000000057501,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
ZINC000000057588,COc1ccc(-c2coc3cc(OC)ccc3c2=O)cc1
ZINC000000057651,O=c1cc(-c2ccccc2O)oc2cccc(O)c12
ZINC000000057652,O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12
ZINC000000057656,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12
ZINC000000057658,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12
ZINC000000057674,O=c1cc(-c2ccccc2)oc2ccccc12
ZINC000000057676,O=c1cc(-c2ccccc2)oc2cccc(O)c12
ZINC000000057679,O=c1cc(-c2ccc(O)cc2)oc2ccccc12
ZINC000000057731,COc1c2ccoc2cc2oc(=O)ccc12
ZINC000000057740,Cc1ccc2oc(=O)ccc2c1
ZINC000000058111,O=c1ccc2ccc(O)cc2o1
ZINC000000058113,O=C1C[C@H](c2ccccc2)Oc2ccccc21
ZINC000000058114,O=C1C[C@@H](c2ccccc2)Oc2ccccc21
ZINC000000058116,O=C1C[C@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
ZINC000000058117,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
ZINC000000058172,O=C(O)/C=C/c1ccc(O)c(O)c1
ZINC000000058294,CC[C@@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
ZINC000000061044,Cc1cc(=O)n(-c2ccccc2)n1C
ZINC000000073693,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21
ZINC000000074709,O=c1ccc2ccccc2o1
ZINC000000074836,CN[C@@H](C)[C@H](O)c1ccccc1
ZINC000000074838,CN[C@H](C)[C@H](O)c1ccccc1
ZINC000000074840,CN[C@H](C)[C@@H](O)c1ccccc1
ZINC000000083315,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
ZINC000000084134,O=C(O)c1cccc2ccccc12
ZINC000000086535,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
ZINC000000089763,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
ZINC000000105076,O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O
ZINC000000105196,N[C@@H](Cc1ccccc1)C(=O)O
ZINC000000113355,CNC[C@H](O)c1cccc(O)c1
ZINC000000113359,CNC[C@@H](O)c1cccc(O)c1
ZINC000000113382,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
ZINC000000113404,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
ZINC000000113410,CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1
ZINC000000119434,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46
ZINC000000119632,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21
ZINC000000119717,c1ccc2c(CC3=NCCN3)cccc2c1
ZINC000000119983,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
ZINC000000119988,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
ZINC000000125006,c1ccc(CC2=NCCN2)cc1
ZINC000000125031,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
ZINC000000125047,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
ZINC000000142828,COc1ccc(NC(C)=O)cc1
ZINC000000152996,NC(=O)c1ccccc1
ZINC000000153654,COc1cc(/C=C/C(=O)O)cc(OC)c1O
ZINC000000153731,COC(=O)/C=C/c1ccc(O)cc1
ZINC000000154957,Cc1ccccc1OC[C@@H](O)CO
ZINC000000155269,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1
ZINC000000156701,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
ZINC000000156956,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1
ZINC000000157134,CC(=O)OCc1ccccc1
ZINC000000157146,COc1ccc(C=O)cc1
ZINC000000157405,COc1ccc(C(C)=O)cc1
ZINC000000157525,COC(=O)c1ccccc1N
ZINC000000157545,C[C@H](N)[C@H](O)c1ccccc1
ZINC000000157548,C[C@@H](N)[C@H](O)c1ccccc1
ZINC000000158540,O=C(O)c1ccc2c(c1)OCO2
ZINC000000160344,c1ccc2ncncc2c1
ZINC000000160496,CCOC(=O)/C=C/c1ccc(O)c(OC)c1
ZINC000000161231,O=C1[C@@H]2CCCN2C(=O)[C@@H]2CCCN12
ZINC000000161294,COc1ccc2c(c1OC)C(=O)OC2
ZINC000000163730,CC(=O)c1cnccn1
ZINC000000164363,c1cnc2c(c1)ccc1cccnc12
ZINC000000190046,CCN(CC)CCOC(c1ccccc1)c1ccccc1
ZINC000000223055,O=Cc1cccc2cccc(C(=O)O)c12
ZINC000000236100,O=C(c1ccccc1)[C@H](O)c1ccccc1
ZINC000000266964,N[C@@H](Cc1ccc(O)cc1)C(=O)O
ZINC000000314951,COc1c2ccoc2c(OC)c2oc(=O)ccc12
ZINC000000336322,COc1cc(O)c2c(=O)cc(C)oc2c1
ZINC000000336851,Cn1c(=O)ccc2ccccc21
ZINC000000336939,COc1cc(OC)c(OC)cc1C=O
ZINC000000337295,CC(=S)Nc1ccccc1
ZINC000000388060,CCOC(=O)Cc1ccccc1
ZINC000000388082,CC(=O)OCCC(C)C
ZINC000000388187,CC(=O)OCC(C)C
ZINC000000388312,CC[C@@H](C)[C@H](N)C(=O)O
ZINC000000388313,CC[C@@H](C)[C@@H](N)C(=O)O
ZINC000000388314,CC[C@H](C)[C@@H](N)C(=O)O
ZINC000000388660,Oc1ccc([C@@H]2COc3cc(O)ccc3C2)cc1
ZINC000000388661,Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1
ZINC000000388674,C=CCc1ccc(OC)c(OC)c1
ZINC000000388747,COc1ccc(OC)cc1
ZINC000000389599,CC(=O)OCc1ccc2c(c1)OCO2
ZINC000000391812,CN1CCC[C@H]1c1cccnc1
ZINC000000391851,COC(Cc1ccccc1)OC
ZINC000000391976,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)ccc12
ZINC000000391977,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(O)cc12
ZINC000000392595,Cn1c(=O)c2c(n(C)c1=O)n(C)c(=O)n2C
ZINC000000393723,CC(C)COC(=O)c1ccccc1O
ZINC000000393730,CCOc1ccc(NC(=O)[C@H](C)O)cc1
ZINC000000394284,COc1ccccc1OC[C@@H](O)CO
ZINC000000394800,CCOC(=O)c1ccc(O)c(OC)c1
ZINC000000394966,CC(C)CCOC(=O)c1ccccc1O
ZINC000000395594,CCc1occc(=O)c1O
ZINC000000395626,O=C(O)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O
ZINC000000396101,CC(C)C(=O)OCCc1ccccc1
ZINC000000402783,O=C1N[C@@H](Cc2ccccc2)C(=O)N[C@H]1CO
ZINC000000402826,O=C1NCC(=O)N2CCC[C@@H]12
ZINC000000402831,CC(C)C[C@@H]1NC(=O)[C@H](C)NC1=O
ZINC000000402901,CCOc1ccc2nccc([C@@H](O)[C@H]3C[C@H]4CCN3C[C@@H]4CC)c2c1
ZINC000000402907,CCOc1ccc2nccc([C@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4CC)c2c1
ZINC000000403010,C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
ZINC000000403011,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
ZINC000000403541,CCCc1c[nH]c(=S)[nH]c1=O
ZINC000000403548,CCOC(=O)c1ccc(O)c(O)c1
ZINC000000403566,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1
ZINC000000403682,OC(c1ccccc1)(c1ccccc1)[C@H]1CCCCN1
ZINC000000404370,C/C=C/c1ccc(OC)c(OC)c1
ZINC000000404389,CCOC(=O)c1ccccc1
ZINC000000407231,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1
ZINC000000409284,CC(=O)O[C@@H](C)c1ccccc1
ZINC000000409285,CC(=O)O[C@H](C)c1ccccc1
ZINC000000409359,CCC(=O)OCC(C)C
ZINC000000488469,COc1cc(C=O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000000491153,CCOc1ccc2nccc([C@@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4CC)c2c1
ZINC000000517261,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O
ZINC000000517578,CC(C)C[C@@H]1NC(=O)CNC1=O
ZINC000000518554,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000000519174,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21
ZINC000000519621,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
ZINC000000537791,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)/N=C(\O)NC3CCC(C)CC3)cc2)C1=O
ZINC000000537822,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
ZINC000000537891,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
ZINC000000538273,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
ZINC000000597013,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000000601259,COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
ZINC000000608172,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
ZINC000000608186,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O
ZINC000000608360,CCOC(=O)C(c1c(O)oc2ccccc2c1=O)c1c(O)oc2ccccc2c1=O
ZINC000000621853,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
ZINC000000621890,COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ZINC000000621892,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1
ZINC000000621893,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ZINC000000643046,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
ZINC000000895081,O=C(O)CC(O)(CC(=O)O)C(=O)O
ZINC000000895099,CC(C)[C@H](N)C(=O)O
ZINC000000895145,O=Cc1ccccc1
ZINC000000895257,c1cn[nH]c1
ZINC000000895323,O=CCc1ccccc1
ZINC000000895390,O=c1c(-c2ccccc2)coc2ccccc12
ZINC000000895934,OCCc1ccccc1
ZINC000000896628,CC(=O)c1ccccc1
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
ZINC000000896810,CC(=O)CCC=C(C)C
ZINC000000896981,CC[N+](CC)(CC)CC
ZINC000000897128,O=C1c2ccc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O
ZINC000000897251,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000000897369,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
ZINC000000897460,CC(C)=CCNC(=N)N
ZINC000000897675,C=C1[C@H](O)[C@@]23CC[C@@H]4[C@]5(C)CCC[C@@]4(CN4CCO[C@H]45)[C@@H]2CC[C@@H]1C3
ZINC000000897734,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2cc(O)ccc21
ZINC000000897736,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21
ZINC000000898031,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@H]1C[C@@H]2OC3=O
ZINC000000898752,C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@@H]1C[C@@H](O)C(=C)[C@H]21
ZINC000000901039,c1c[nH]cn1
ZINC000000901159,CC(C)O
ZINC000000901461,COc1cc(/C=C/C(=O)NCCc2ccc(O)cc2)ccc1O
ZINC000000967189,CN1CC(=O)N=C1N
ZINC000000967520,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
ZINC000000967523,CC(C)[C@H]1CC[C@H](C)CC1=O
ZINC000000967570,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
ZINC000000967571,CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2
ZINC000000967593,CC1=CC=C(C(C)C)CC1
ZINC000000967594,CC1=CCC(C(C)C)=CC1
ZINC000000967630,C/C=C/c1ccc(OC)cc1
ZINC000000967635,C=CCc1ccc(OC)cc1
ZINC000000967796,CC(C)[C@@H]1CC[C@@H](C)CC1=O
ZINC000000967932,CC[N+](CC)(CC)CC[C@@](O)(c1ccccc1)C1CCCCC1
ZINC000000967933,CC[N+](CC)(CC)CC[C@](O)(c1ccccc1)C1CCCCC1
ZINC000000968037,CC(C)[C@@H]1CC[C@H](C)CC1=O
ZINC000000968128,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O
ZINC000000968266,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
ZINC000000968345,CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O
ZINC000000985403,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21
ZINC000001069090,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
ZINC000001081099,CC1(C)[C@@H](O)[C@@]2(C)CC[C@@H]1C2
ZINC000001081121,CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2
ZINC000001081577,CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
ZINC000001090557,COc1ccccc1C=O
ZINC000001187543,Cn1cc[nH]c1=S
ZINC000001318746,CCOc1ccc2nccc([C@H](O)[C@H]3C[C@H]4CCN3C[C@@H]4CC)c2c1
ZINC000001319234,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12
ZINC000001319903,CCOc1ccc2nccc([C@H](O)[C@@H]3C[C@H]4CCN3C[C@H]4CC)c2c1
ZINC000001319967,C[C@@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1
ZINC000001408502,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1
ZINC000001481766,CN[C@@H](C)CC1CCCC1
ZINC000001481966,CCN(CCCc1ccccc1)CCCc1ccccc1
ZINC000001482164,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
ZINC000001529208,CC(C)=CCC/C(C)=C/C=O
ZINC000001529210,CC(C)=CCC/C(C)=C/CO
ZINC000001529277,C1CCNCC1
ZINC000001529322,CCCC[C@H](N)C(=O)O
ZINC000001529368,CC(C)C[C@H](NC(=O)CN)C(=O)O
ZINC000001529427,OC/C=C/c1ccccc1
ZINC000001529532,O=S(=O)(O)NC1CCCCC1
ZINC000001530467,C=Cc1cncc2c1CCOC2=O
ZINC000001530575,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
ZINC000001530604,O=C(O)c1cc(=O)c2cc(OC[C@@H](O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1
ZINC000001530605,O=C(O)c1cc(=O)c2cc(OC[C@H](O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1
ZINC000001530613,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
ZINC000001530636,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1
ZINC000001530652,CCN(CCO)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000001530654,CCN(CCO)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000001530701,CCCC(C)(COC(N)=O)COC(N)=O
ZINC000001530705,CC(=O)OCC(COC(C)=O)OC(C)=O
ZINC000001530706,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
ZINC000001530707,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
ZINC000001530710,CN1C(=O)OC(C)(C)C1=O
ZINC000001530728,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
ZINC000001530756,CCN(CC)CCNC(=O)c1ccc(N)cc1
ZINC000001530757,CCN(CC)CCOC(=O)c1ccc(N)cc1
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1
ZINC000001530763,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C
ZINC000001530767,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C
ZINC000001530768,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
ZINC000001530769,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
ZINC000001530775,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
ZINC000001530776,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
ZINC000001530811,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
ZINC000001530820,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
ZINC000001530877,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
ZINC000001530932,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
ZINC000001530938,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
ZINC000001530950,CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C
ZINC000001530951,CCC[C@](C)(COC(N)=O)COC(=O)NC(C)C
ZINC000001531127,O=C(/C=C/c1ccc(O)cc1)Nc1ccc(O)cc1C(=O)O
ZINC000001531601,CC(C)=CCC[C@@H](C)CCO
ZINC000001531610,CC(=O)OC/C=C(\C)CCC=C(C)C
ZINC000001531669,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC
ZINC000001531698,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC
ZINC000001531699,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1
ZINC000001532172,CCCOC(=O)c1cc(O)c(O)c(O)c1
ZINC000001532246,CC(C)=CCC[C@H](C)CCO
ZINC000001532522,NCCCC[C@H](N)C(=O)O
ZINC000001532525,N=C(N)NCCC[C@H](N)C(=O)O
ZINC000001532585,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C
ZINC000001532739,OC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
